,x,y
0,0.144,0.144
1,0.144,0.144
2,0.144,0.144
3,0.144,0.144
4,0.194311,0.194311
5,0.194311,0.194311
6,0.144,0.144
7,0.193647,0.193647
8,0.193616,0.193616
9,0.144,0.144
10,0.144,0.144
11,0.193658,0.193658
12,0.193658,0.193658
13,0.144,0.144
14,0.148,0.148
15,0.144,0.144
16,0.194311,0.194311
17,0.194311,0.194311
18,0.148,0.148
19,0.9375,0.9375
20,0.9375,0.9375
21,0.9375,0.9375
22,0.9375,0.9375
23,0.9375,0.9375
24,0.9375,0.9375
25,0.9375,0.9375
26,0.9375,0.9375
27,0.9375,0.9375
28,0.4688,0.4688
29,0.4688,0.4688
30,0.4688,0.4688
31,0.4688,0.4688
32,0.4688,0.4688
33,0.4688,0.4688
34,0.4688,0.4688
35,0.4688,0.4688
36,0.4688,0.4688
37,0.4688,0.4688
38,0.4688,0.4688
39,0.4688,0.4688
40,0.4688,0.4688
41,0.4688,0.4688
42,0.4688,0.4688
43,0.4688,0.4688
44,0.4688,0.4688
45,0.4688,0.4688
46,0.4688,0.4688
47,0.4688,0.4688
48,0.4688,0.4688
49,0.4688,0.4688
50,0.5078,0.5078
51,0.5078,0.5078
52,0.5078,0.5078
53,0.5078,0.5078
54,0.5078,0.5078
55,0.5078,0.5078
56,0.5078,0.5078
57,0.5078,0.5078
58,0.5078,0.5078
59,0.5078,0.5078
60,0.5078,0.5078
61,0.5078,0.5078
62,0.5078,0.5078
63,0.5078,0.5078
64,0.5078,0.5078
65,0.5078,0.5078
66,0.5078,0.5078
67,0.5078,0.5078
68,0.5078,0.5078
69,0.5078,0.5078
70,0.5078,0.5078
71,0.5078,0.5078
72,0.5078,0.5078
73,0.5078,0.5078
74,0.5078,0.5078
75,0.5078,0.5078
76,0.5078,0.5078
77,0.5078,0.5078
78,0.5078,0.5078
79,0.5078,0.5078
80,0.5078,0.5078
81,0.5078,0.5078
82,0.5078,0.5078
83,0.5078,0.5078
84,0.5078,0.5078
85,0.5078,0.5078
86,0.5078,0.5078
87,0.5078,0.5078
88,0.5078,0.5078
89,0.5078,0.5078
90,0.5078,0.5078
91,0.5078,0.5078
92,0.5078,0.5078
93,0.5078,0.5078
94,0.5078,0.5078
95,0.5078,0.5078
96,0.5078,0.5078
97,0.5078,0.5078
98,0.5078,0.5078
99,0.5078,0.5078
100,0.5078,0.5078
101,0.5078,0.5078
102,0.5078,0.5078
103,0.5078,0.5078
104,0.5078,0.5078
105,0.5078,0.5078
106,0.5078,0.5078
107,0.5078,0.5078
108,0.5078,0.5078
109,0.5078,0.5078
110,0.5078,0.5078
111,0.5078,0.5078
112,0.5078,0.5078
113,0.5078,0.5078
114,0.5078,0.5078
115,0.5078,0.5078
116,0.5078,0.5078
117,0.5078,0.5078
118,0.5078,0.5078
119,0.5078,0.5078
120,0.5078,0.5078
121,0.5078,0.5078
122,0.5078,0.5078
123,0.5078,0.5078
124,0.5078,0.5078
125,0.5078,0.5078
126,0.5078,0.5078
127,0.5078,0.5078
128,0.5078,0.5078
129,0.5078,0.5078
130,0.5078,0.5078
131,0.5078,0.5078
132,0.5078,0.5078
133,0.5078,0.5078
134,0.5078,0.5078
135,0.5078,0.5078
136,0.5078,0.5078
137,0.5078,0.5078
138,0.5078,0.5078
139,0.5078,0.5078
140,0.5078,0.5078
141,0.5078,0.5078
142,0.5078,0.5078
143,0.5078,0.5078
144,0.5078,0.5078
145,0.5078,0.5078
146,0.5078,0.5078
147,0.5078,0.5078
148,0.5078,0.5078
149,0.5078,0.5078
150,0.5078,0.5078
151,0.5078,0.5078
152,0.5078,0.5078
153,0.5078,0.5078
154,0.5078,0.5078
155,0.5078,0.5078
156,0.5078,0.5078
157,0.5078,0.5078
158,0.5078,0.5078
159,0.5078,0.5078
160,0.5078,0.5078
161,0.5078,0.5078
162,0.5078,0.5078
163,0.5078,0.5078
164,0.5078,0.5078
165,0.5078,0.5078
166,0.5078,0.5078
167,0.5078,0.5078
168,0.5078,0.5078
169,0.5078,0.5078
170,0.5078,0.5078
171,0.5078,0.5078
172,0.5078,0.5078
173,0.5078,0.5078
174,0.5078,0.5078
175,0.5078,0.5078
176,0.5078,0.5078
177,0.5078,0.5078
178,0.5078,0.5078
179,0.5078,0.5078
180,0.5078,0.5078
181,0.5078,0.5078
182,0.5078,0.5078
183,0.5078,0.5078
184,0.5078,0.5078
185,0.5078,0.5078
186,0.5078,0.5078
187,0.5078,0.5078
188,0.5078,0.5078
189,0.5078,0.5078
190,0.5078,0.5078
191,0.5078,0.5078
192,0.5078,0.5078
193,0.5078,0.5078
194,0.5078,0.5078
195,0.5078,0.5078
196,0.5078,0.5078
197,0.5078,0.5078
198,0.5078,0.5078
199,0.5078,0.5078
200,0.5078,0.5078
201,0.5078,0.5078
202,0.5078,0.5078
203,0.5078,0.5078
204,0.5078,0.5078
205,0.5078,0.5078
206,0.5078,0.5078
207,0.5078,0.5078
208,0.5078,0.5078
209,0.5078,0.5078
210,0.5078,0.5078
211,0.5078,0.5078
212,0.5078,0.5078
213,0.5078,0.5078
214,0.5078,0.5078
215,0.5078,0.5078
216,0.5078,0.5078
217,0.5078,0.5078
218,0.5078,0.5078
219,0.5078,0.5078
220,0.5078,0.5078
221,0.5078,0.5078
222,0.5078,0.5078
223,0.5078,0.5078
224,0.5078,0.5078
225,0.5078,0.5078
226,0.5078,0.5078
227,0.5078,0.5078
228,0.5078,0.5078
229,0.5078,0.5078
230,0.5078,0.5078
231,0.5078,0.5078
232,0.5078,0.5078
233,0.5078,0.5078
234,0.5078,0.5078
235,0.5078,0.5078
236,0.5078,0.5078
237,0.5078,0.5078
238,0.5078,0.5078
239,0.5078,0.5078
240,0.5078,0.5078
241,0.5078,0.5078
242,0.5078,0.5078
243,0.5078,0.5078
244,0.5078,0.5078
245,0.5078,0.5078
246,0.5078,0.5078
247,0.5078,0.5078
248,0.5078,0.5078
249,0.5078,0.5078
250,0.5078,0.5078
251,0.5078,0.5078
252,0.5078,0.5078
253,0.5078,0.5078
254,0.5078,0.5078
255,0.5078,0.5078
256,0.5078,0.5078
257,0.5078,0.5078
258,0.5078,0.5078
259,0.5078,0.5078
260,0.5078,0.5078
261,0.5078,0.5078
262,1.0156,1.0156
263,1.0156,1.0156
264,1.0156,1.0156
265,1.0156,1.0156
266,1.0156,1.0156
267,1.0156,1.0156
268,1.0156,1.0156
269,1.0156,1.0156
270,1.0156,1.0156
271,1.0156,1.0156
272,1.0156,1.0156
273,1.0156,1.0156
274,1.0156,1.0156
275,1.0156,1.0156
276,1.0156,1.0156
277,1.0156,1.0156
278,1.0156,1.0156
279,1.0156,1.0156
280,1.0156,1.0156
281,1.0156,1.0156
282,1.0156,1.0156
283,1.0156,1.0156
284,1.0156,1.0156
285,1.0156,1.0156
286,1.0156,1.0156
287,1.0156,1.0156
288,1.0156,1.0156
289,1.0156,1.0156
290,1.0156,1.0156
291,1.0156,1.0156
292,1.0156,1.0156
293,1.0156,1.0156
294,1.0156,1.0156
295,1.0156,1.0156
296,1.0156,1.0156
297,1.0156,1.0156
298,1.0156,1.0156
299,1.0156,1.0156
300,1.0156,1.0156
301,1.0156,1.0156
302,1.0156,1.0156
303,1.0156,1.0156
304,1.0156,1.0156
305,1.0156,1.0156
306,1.0156,1.0156
307,1.0156,1.0156
308,1.0156,1.0156
309,1.0156,1.0156
310,1.0156,1.0156
311,1.0156,1.0156
312,1.0156,1.0156
313,1.0156,1.0156
314,1.0156,1.0156
315,1.0156,1.0156
316,1.0156,1.0156
317,1.0156,1.0156
318,1.0156,1.0156
319,1.0156,1.0156
320,1.0156,1.0156
321,1.0156,1.0156
322,1.0156,1.0156
323,1.0156,1.0156
324,1.0156,1.0156
325,1.0156,1.0156
326,1.0156,1.0156
327,1.0156,1.0156
328,1.0156,1.0156
329,1.0156,1.0156
330,1.0156,1.0156
331,1.0156,1.0156
332,1.0156,1.0156
333,1.0156,1.0156
334,1.0156,1.0156
335,1.0156,1.0156
336,1.0156,1.0156
337,1.0156,1.0156
338,1.0156,1.0156
339,1.0156,1.0156
340,1.0156,1.0156
341,1.0156,1.0156
342,1.0156,1.0156
343,1.0156,1.0156
344,1.0156,1.0156
345,1.0156,1.0156
346,1.0156,1.0156
347,1.0156,1.0156
348,1.0156,1.0156
349,1.0156,1.0156
350,1.0156,1.0156
351,1.0156,1.0156
352,1.0156,1.0156
353,1.0156,1.0156
354,1.0156,1.0156
355,1.0156,1.0156
356,1.0156,1.0156
357,1.0156,1.0156
358,1.0156,1.0156
359,1.0156,1.0156
360,1.0156,1.0156
361,1.0156,1.0156
362,1.0156,1.0156
363,1.0156,1.0156
364,1.0156,1.0156
365,1.0156,1.0156
366,1.0156,1.0156
367,1.0156,1.0156
368,1.0156,1.0156
369,1.0156,1.0156
370,1.0156,1.0156
371,1.0156,1.0156
372,1.0156,1.0156
373,1.0156,1.0156
374,1.0156,1.0156
375,1.0156,1.0156
376,1.0156,1.0156
377,1.0156,1.0156
378,1.0156,1.0156
379,1.0156,1.0156
380,1.0156,1.0156
381,1.0156,1.0156
382,1.0156,1.0156
383,1.0156,1.0156
384,1.0156,1.0156
385,1.0156,1.0156
386,1.0156,1.0156
387,1.0156,1.0156
388,1.0156,1.0156
389,1.0156,1.0156
390,1.0156,1.0156
391,1.0156,1.0156
392,1.0156,1.0156
393,1.0156,1.0156
394,1.0156,1.0156
395,1.0156,1.0156
396,1.0156,1.0156
397,1.0156,1.0156
398,1.0156,1.0156
399,1.0156,1.0156
400,1.0156,1.0156
401,1.0156,1.0156
402,1.0156,1.0156
403,1.0156,1.0156
404,1.0156,1.0156
405,1.0156,1.0156
406,1.0156,1.0156
407,1.0156,1.0156
408,1.0156,1.0156
409,1.0156,1.0156
410,1.0156,1.0156
411,1.0156,1.0156
412,1.0156,1.0156
413,1.0156,1.0156
414,1.0156,1.0156
415,1.0156,1.0156
416,1.0156,1.0156
417,1.0156,1.0156
418,1.0156,1.0156
419,1.0156,1.0156
420,1.0156,1.0156
421,1.0156,1.0156
422,1.0156,1.0156
423,1.0156,1.0156
424,1.0156,1.0156
425,1.0156,1.0156
426,1.0156,1.0156
427,1.0156,1.0156
428,1.0156,1.0156
429,1.0156,1.0156
430,1.0156,1.0156
431,1.0156,1.0156
432,1.0156,1.0156
433,1.0156,1.0156
434,1.0156,1.0156
435,1.0156,1.0156
436,1.0156,1.0156
437,1.0156,1.0156
438,1.0156,1.0156
439,1.0156,1.0156
440,1.0156,1.0156
441,1.0156,1.0156
442,1.0156,1.0156
443,1.0156,1.0156
444,1.0156,1.0156
445,1.0156,1.0156
446,1.0156,1.0156
447,1.0156,1.0156
448,1.0156,1.0156
449,1.0156,1.0156
450,1.0156,1.0156
451,1.0156,1.0156
452,1.0156,1.0156
453,1.0156,1.0156
454,1.0156,1.0156
455,1.0156,1.0156
456,1.0156,1.0156
457,1.0156,1.0156
458,1.0156,1.0156
459,1.0156,1.0156
460,1.0156,1.0156
461,1.0156,1.0156
462,1.0156,1.0156
463,1.0156,1.0156
464,1.0156,1.0156
465,1.0156,1.0156
466,1.0156,1.0156
467,1.0156,1.0156
468,1.0156,1.0156
469,1.0156,1.0156
470,1.0156,1.0156
471,1.0156,1.0156
472,1.0156,1.0156
473,1.0156,1.0156
474,1.0156,1.0156
475,1.0156,1.0156
476,1.0156,1.0156
477,1.0156,1.0156
478,1.0156,1.0156
479,1.0156,1.0156
480,1.0156,1.0156
481,1.0156,1.0156
482,1.0156,1.0156
483,1.0156,1.0156
484,1.0156,1.0156
485,1.0156,1.0156
486,0.4688,0.4688
487,0.4688,0.4688
488,0.4688,0.4688
489,0.4688,0.4688
490,0.4688,0.4688
491,0.4688,0.4688
492,0.4688,0.4688
493,0.4688,0.4688
494,0.4688,0.4688
495,0.4688,0.4688
496,0.4688,0.4688
497,0.4688,0.4688
498,0.4688,0.4688
499,0.4688,0.4688
